INFO:Fast AutoAugment:Start!
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:model: 0.1
INFO:Fast AutoAugment:augmentation: 1
INFO:Fast AutoAugment:augmentation: 2
INFO:Fast AutoAugment:augmentation: 3
INFO:Fast AutoAugment:augmentation: 4
INFO:Fast AutoAugment:Done...!
